MONTH,AIRCRAFT FLOWN - DEPARTURES (IN NUMBER),AIRCRAFT FLOWN - HOURS (IN NUMBER),AIRCRAFT FLOWN - KILOMETRE (IN THOUSAND),PASSENGERS CARRIED (IN NUMBER),PASSENGER KMS.PERFORMED (IN THOUSAND),AVAILABLE SEAT KILOMETRE (IN THOUSAND),PAX.LOAD FACTOR# (IN %),CARGO CARRIED - FREIGHT (IN TONNE),CARGO CARRIED - MAIL (IN TONNE),CARGO CARRIED - TOTAL (IN TONNE),TONNE KILOMETRE PERFORMED - PASSENGER (IN THOUSAND),TONNE KILOMETRE PERFORMED - FREIGHT (IN THOUSAND),TONNE KILOMETRE PERFORMED - MAIL (IN THOUSAND),TONNE KILOMETRE PERFORMED - TOTAL (IN THOUSAND),AVAILABLE TONNE KILOMETRE (IN THOUSAND),WEIGHT LOAD FACTOR## (IN %)
JAN ,70749,120523,63579,9548612,9184893,10406549,88.3,48824.2,3270,52094.2,795626.4,10832198.4,3266,11631090.8,17246089.3,67.4
FEB ,64556,109411,57857,8616856,8227608,9439258,87.2,46644.9,3261,49905.9,713118.4,9805596.6,3214,10521929,15934864.6,66
MAR,71713,120621,63774,9007696,8548137,10452016,81.8,54709.8,3271,57980.8,738475.1,10942055.1,3255,11683785.2,17017661.2,68.7
APR,69474,117315,61814,9100687,8688834,10155279,85.6,50135.1,2780,52915.1,751794,9868041.8,2829,10622664.8,15943931.8,66.6
MAY,74578,125749,66480,10140073,9716982,10934374,88.9,54771.8,2886,57657.8,840004.1,10977512.4,3013,11820529.5,16997962.9,69.5
JUN,72739,122745,64789,9536983,9143756,10640306,85.9,55246.7,2941,58187.7,790524.5,11157191.6,3001,11950717.1,16853609.9,70.9
JULY,74715,126025,66454,9533226,8995060,10812394,83.2,55356.1,3103,58459.1,777248,10886224.3,3169,11666641.3,16550099.3,70.5
AUG,74902,125520,66855,9663380,9092204,10884015,83.5,56354.8,3024.5,59379.3,784035.9,11112539.5,3061,11899636.4,16926861.9,70.3
SEP,73772,123288,66206,9550493,9066247,10732176,84.5,60811.8,3138,63949.8,791605.7,12356407.9,3235,13151248.7,18598501.5,70.7
OCT,79543,133995,71632,10418436,9894071,11664219,84.8,57655,2912.9,60567.9,862977.3,11173977.7,2947,12039902.1,17380180.7,69.3
NOV,75944,129226,68276,10453411,9887559,11084915,89.2,53769.8,3045.5,56815.2,863146.4,11110669.3,3073,11976888.7,17325291,69.1
DEC,81306,138669,73235,11206075,10671932,11924628,89.5,55691,3330.8,59021.8,932200.2,11163602.8,3386,12099189,17058890.2,70.9
Total,883991,1493086,790951,116775928,111117283,129130130,86.1,649970.8,36963.6,686934.4,9640756,131386017.4,37449,141064222.5,203833944.3,69.2
